>>>>>Running tests<<<<<
Running 2 test sets
person01_running_d4_uncomp.avi [det: 0.51][falsep: 0.16][fps: 760.62]
person02_running_d4_uncomp.avi [det: 0.79][falsep: 0.13][fps: 427.39]
person03_running_d4_uncomp.avi [det: 0.66][falsep: 0.09][fps: 458.70]
person04_running_d2_uncomp.avi [det: 0.75][falsep: 0.08][fps: 495.27]
person05_running_d1_uncomp.avi [det: 0.64][falsep: 0.13][fps: 506.32]
person06_running_d3_uncomp.avi [det: 0.75][falsep: 0.18][fps: 716.93]
person07_running_d1_uncomp.avi [det: 0.66][falsep: 0.17][fps: 807.69]
person08_running_d2_uncomp.avi [det: 0.75][falsep: 0.06][fps: 655.99]
person09_running_d1_uncomp.avi [det: 0.58][falsep: 0.07][fps: 534.68]
person10_running_d1_uncomp.avi [det: 0.66][falsep: 0.07][fps: 804.42]
person11_running_d3_uncomp.avi [det: 0.42][falsep: 0.09][fps: 746.92]
person12_running_d2_uncomp.avi [det: 0.72][falsep: 0.05][fps: 784.86]
person13_running_d4_uncomp.avi [det: 0.68][falsep: 0.08][fps: 773.43]
person14_running_d1_uncomp.avi [det: 0.55][falsep: 0.07][fps: 634.47]
person15_running_d2_uncomp.avi [det: 0.66][falsep: 0.06][fps: 743.90]
person16_running_d2_uncomp.avi [det: 0.71][falsep: 0.05][fps: 510.16]
person17_running_d1_uncomp.avi [det: 0.11][falsep: 0.17][fps: 724.98]
person18_running_d3_uncomp.avi [det: 0.65][falsep: 0.05][fps: 786.43]
person19_running_d2_uncomp.avi [det: 0.77][falsep: 0.05][fps: 664.49]
person20_running_d4_uncomp.avi [det: 0.70][falsep: 0.13][fps: 587.66]
person21_running_d1_uncomp.avi [det: 0.65][falsep: 0.10][fps: 815.26]
person22_running_d3_uncomp.avi [det: 0.46][falsep: 0.08][fps: 884.38]
person23_running_d4_uncomp.avi [det: 0.72][falsep: 0.17][fps: 496.75]
person24_running_d3_uncomp.avi [det: 0.69][falsep: 0.14][fps: 779.44]
person25_running_d3_uncomp.avi [det: 0.76][falsep: 0.20][fps: 652.30]
Loaded classifier cascade/haar_12.xml (w:23 h:46)
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.44][falsep: 0.15][fps: 171.54]
person02_running_d4_uncomp.avi [det: 0.72][falsep: 0.08][fps: 145.74]
person03_running_d4_uncomp.avi [det: 0.64][falsep: 0.05][fps: 145.84]
person04_running_d2_uncomp.avi [det: 0.52][falsep: 0.05][fps: 168.68]
person05_running_d1_uncomp.avi [det: 0.23][falsep: 0.01][fps: 174.08]
person06_running_d3_uncomp.avi [det: 0.71][falsep: 0.16][fps: 170.13]
person07_running_d1_uncomp.avi [det: 0.62][falsep: 0.11][fps: 172.66]
person08_running_d2_uncomp.avi [det: 0.42][falsep: 0.04][fps: 175.11]
person09_running_d1_uncomp.avi [det: 0.42][falsep: 0.04][fps: 174.13]
person10_running_d1_uncomp.avi [det: 0.63][falsep: 0.06][fps: 175.01]
person11_running_d3_uncomp.avi [det: 0.25][falsep: 0.03][fps: 175.39]
person12_running_d2_uncomp.avi [det: 0.43][falsep: 0.02][fps: 182.63]
person13_running_d4_uncomp.avi [det: 0.59][falsep: 0.08][fps: 175.76]
person14_running_d1_uncomp.avi [det: 0.39][falsep: 0.04][fps: 180.01]
person15_running_d2_uncomp.avi [det: 0.50][falsep: 0.04][fps: 177.23]
person16_running_d2_uncomp.avi [det: 0.64][falsep: 0.04][fps: 185.17]
person17_running_d1_uncomp.avi [det: 0.11][falsep: 0.12][fps: 179.10]
person18_running_d3_uncomp.avi [det: 0.62][falsep: 0.03][fps: 176.38]
person19_running_d2_uncomp.avi [det: 0.69][falsep: 0.04][fps: 174.19]
person20_running_d4_uncomp.avi [det: 0.64][falsep: 0.05][fps: 171.82]
person21_running_d1_uncomp.avi [det: 0.48][falsep: 0.07][fps: 179.95]
person22_running_d3_uncomp.avi [det: 0.29][falsep: 0.04][fps: 188.93]
person23_running_d4_uncomp.avi [det: 0.62][falsep: 0.11][fps: 155.78]
person24_running_d3_uncomp.avi [det: 0.55][falsep: 0.11][fps: 175.71]
person25_running_d3_uncomp.avi [det: 0.32][falsep: 0.02][fps: 170.19]
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.47][falsep: 0.18][fps: 744.49]
person02_running_d4_uncomp.avi [det: 0.72][falsep: 0.08][fps: 433.00]
person03_running_d4_uncomp.avi [det: 0.64][falsep: 0.05][fps: 450.87]
person04_running_d2_uncomp.avi [det: 0.69][falsep: 0.05][fps: 500.65]
person05_running_d1_uncomp.avi [det: 0.55][falsep: 0.07][fps: 515.81]
person06_running_d3_uncomp.avi [det: 0.73][falsep: 0.16][fps: 720.99]
person07_running_d1_uncomp.avi [det: 0.63][falsep: 0.12][fps: 803.79]
person08_running_d2_uncomp.avi [det: 0.74][falsep: 0.05][fps: 648.26]
person09_running_d1_uncomp.avi [det: 0.54][falsep: 0.07][fps: 551.99]
person10_running_d1_uncomp.avi [det: 0.63][falsep: 0.06][fps: 784.68]
person11_running_d3_uncomp.avi [det: 0.30][falsep: 0.05][fps: 744.06]
person12_running_d2_uncomp.avi [det: 0.59][falsep: 0.04][fps: 773.78]
person13_running_d4_uncomp.avi [det: 0.62][falsep: 0.10][fps: 760.52]
person14_running_d1_uncomp.avi [det: 0.52][falsep: 0.06][fps: 601.99]
person15_running_d2_uncomp.avi [det: 0.62][falsep: 0.05][fps: 717.24]
person16_running_d2_uncomp.avi [det: 0.70][falsep: 0.05][fps: 511.48]
person17_running_d1_uncomp.avi [det: 0.11][falsep: 0.15][fps: 720.01]
person18_running_d3_uncomp.avi [det: 0.61][falsep: 0.04][fps: 767.80]
person19_running_d2_uncomp.avi [det: 0.72][falsep: 0.04][fps: 645.47]
person20_running_d4_uncomp.avi [det: 0.70][falsep: 0.05][fps: 578.68]
person21_running_d1_uncomp.avi [det: 0.65][falsep: 0.08][fps: 779.88]
person22_running_d3_uncomp.avi [det: 0.40][falsep: 0.06][fps: 795.51]
person23_running_d4_uncomp.avi [det: 0.65][falsep: 0.08][fps: 487.70]
person24_running_d3_uncomp.avi [det: 0.68][falsep: 0.09][fps: 767.38]
person25_running_d3_uncomp.avi [det: 0.73][falsep: 0.10][fps: 645.69]
Loaded classifier cascade/haar_13.xml (w:23 h:46)
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.43][falsep: 0.10][fps: 170.78]
person02_running_d4_uncomp.avi [det: 0.62][falsep: 0.02][fps: 144.51]
person03_running_d4_uncomp.avi [det: 0.51][falsep: 0.04][fps: 145.95]
person04_running_d2_uncomp.avi [det: 0.26][falsep: 0.02][fps: 163.22]
person05_running_d1_uncomp.avi [det: 0.07][falsep: 0.00][fps: 168.95]
person06_running_d3_uncomp.avi [det: 0.62][falsep: 0.08][fps: 168.27]
person07_running_d1_uncomp.avi [det: 0.57][falsep: 0.09][fps: 170.50]
person08_running_d2_uncomp.avi [det: 0.25][falsep: 0.01][fps: 177.70]
person09_running_d1_uncomp.avi [det: 0.31][falsep: 0.02][fps: 165.92]
person10_running_d1_uncomp.avi [det: 0.61][falsep: 0.06][fps: 173.78]
